Name,DTF_Sask_2017,DTF_Nepal_2017,Cotyledon_RedvsYellow
PI_251248_LSP_AGL,38,82.7,1
PI_273664_LSP_AGL,51.7,137.3,1
PI_280686_AGL,44.7,97,1
PI_283604_LSP_AGL,54,131.3,0
PI_289066_AGL,59.3,142,0
PI_289073_LSP_AGL,54,123.3,0
PI_289079_LSP_AGL,55.7,124,0
PI_290716_LSP_AGL,52,123,1
PI_297285_LSP_AGL,54,116,0
PI_297287_AGL,52,122.3,0
PI_297754_LSP_AGL,49.5,123,0
PI_297767_AGL,54.5,130,0
PI_297772_LSP_AGL,51,131.3,1
PI_297783_AGL,42.3,104.3,1
PI_297787_LSP_AGL,48.7,123.3,1
PI_298023_LSP_AGL,46.7,121,0
PI_298121_LSP_AGL,48,117.7,NA
PI_298122_LSP_AGL,54.3,122.7,0
PI_298357_LSP_AGL,45.7,115.7,1
PI_298631_LSP_AGL,58.3,130.3,0
PI_298644_LSP_AGL,59.3,138,0
PI_298645_AGL,54,122.7,0
PI_298921_AGL,48.3,131.3,0
PI_298922_LSP_AGL,52.3,133.3,1
PI_298923_LSP_AGL,47,122.3,0
PI_299116_LSP_AGL,47,119.7,0
PI_299120_LSP_AGL,47.7,115.3,0
PI_299121_LSP_AGL,46.3,111.7,0
PI_299126_LSP_AGL,44.3,115.3,NA
PI_299163_LSP_AGL,51.5,136,0
PI_299164_LSP_AGL,48,122.3,0
PI_299165_AGL,49.7,130.7,0
PI_299177_LSP_AGL,48.3,126.3,0
PI_299237_LSP_AGL,48,121,1
PI_299289_AGL,50,119.7,1
PI_299312_AGL,55.7,124,0
PI_299345_AGL,53,132.3,0
PI_299351_LSP_AGL,49.7,123,1
PI_299366_LSP_AGL,47.3,131.3,0
PI_299375_LSP_AGL,50.3,130,0
PI_300250_LSP_AGL,48,132,1
PI_302398_LSP_AGL,45.3,120.7,0
PI_308614_LSP_AGL,51.7,135.7,1
PI_311107_LSP_AGL,53,136.7,0
PI_312175_LSP_AGL,56,130,0
PI_320935_LSP_AGL,45,125,1
PI_320936_LSP_AGL,52.3,107.7,1
PI_320937_LSP_AGL,59.3,121.7,0
CN_105866_AGL,54.3,138,NA
PI_320941_LSP_AGL,50,136,0
PI_320945_LSP_AGL,51.3,133,1
PI_320946_LSP_AGL,48,125.3,0
PI_320952_LSP_AGL,61.7,128.7,0
PI_320953_LSP_AGL,59.3,137.3,1
PI_320954_LSP_AGL,54.7,123.3,0
PI_329157_LSP_AGL,46.7,121.7,0
PI_329167_LSP_AGL,49,119,0
PI_339266_LSP_AGL,43,120.7,0
PI_339283_LSP_AGL,50,128.3,1
PI_339285_AGL,48.7,143,1
PI_339289_LSP_AGL,45,121,0
PI_339292_LSP_AGL,46.3,118,1
PI_339296_AGL,46.3,119,1
PI_343026_LSP_AGL,47.7,118,1
PI_345627_LSP_AGL,59,125.7,0
PI_358602_LSP_AGL,53,125.3,1
PI_368647_LSP_AGL,53,127.3,0
PI_368651_LSP_AGL,53,126,1
PI_370481_LSP_AGL,53.3,138,0
PI_374116_LSP_AGL,54.3,120.7,0
PI_374117_LSP_AGL,48,124,0
PI_374118_AGL,47.7,122.7,1
PI_374120_LSP_AGL,56.7,121.3,NA
PI_374121_AGL,50.7,121.7,0
PI_379368_LSP_AGL,50,122.7,0
PI_383682_LSP_AGL,48.3,122,1
PI_420818_AGL,51.7,130.7,0
PI_420924_LSP_AGL,47.7,124.3,0
PI_420925_LSP_AGL,48,124.7,1
PI_420929_LSP_AGL,50.3,127,1
PI_426202_LSP_AGL,48,128.7,1
PI_426778_LSP_AGL,49.3,121.3,0
PI_426784_LSP_AGL,46.3,102,1
PI_426797_LSP_AGL,44.3,102.3,1
PI_426807_LSP_AGL,45.7,124.3,1
PI_431618_LSP_AGL,49,120.7,0
PI_431622_LSP_AGL,52,125.7,0
PI_431630_LSP_AGL,48.7,136.3,1
PI_431633_LSP_AGL,47.3,117,0
PI_431636_LSP_AGL,47.3,123.7,0
PI_431643_LSP_AGL,45.3,121.7,0
PI_431662_LSP_AGL,50,122.7,1
PI_431663_LSP_AGL,48,126,0
PI_431679_LSP_AGL,53,125.3,1
PI_431684_LSP_AGL,49,127.3,1
PI_431705_LSP_AGL,48,116.3,0
PI_431710_LSP_AGL,50.3,119,0
PI_431714_LSP_AGL,51,120.7,0
PI_431717_LSP_AGL,50.3,126.7,0
PI_431728_LSP_AGL,50.3,119,0
PI_431731_LSP_AGL,50,121.7,0
PI_431739_LSP_AGL,47.7,116.7,0
PI_431753_LSP_AGL,48,119.7,0
PI_431756_LSP_AGL,49.3,123,0
PI_431809_LSP_AGL,47.5,133.3,0
PI_431824_LSP_AGL,45.3,122.3,0
PI_431863_LSP_AGL,50.7,125,0
PI_431873_LSP_AGL,48.7,131.3,1
PI_431884_LSP_AGL,45.7,122.7,0
PI_431888_LSP_AGL,49.3,128.7,0
PI_431923_LSP_AGL,52.7,136.7,1
PI_431980_LSP_AGL,46.7,120,0
PI_432000_LSP_AGL,47,132.3,1
PI_432001_LSP_AGL,47,123.7,0
PI_432002_LSP_AGL,49.7,135,1
PI_432005_LSP_AGL,47.7,122.3,0
PI_432028_LSP_AGL,50.7,124.7,0
PI_432033_LSP_AGL,50.7,124,0
PI_432085_LSP_AGL,46,120.7,0
PI_432106_LSP_AGL,48.7,123.3,0
PI_432124_LSP_AGL,47.7,122,1
PI_432145_LSP_AGL,53.3,122.7,0
PI_432147_LSP_AGL,49.3,125.7,0
PI_432184_LSP_AGL,46,116.3,0
PI_432188_LSP_AGL,46.3,116.7,0
PI_432190_LSP_AGL,54,121.7,0
PI_432201_LSP_AGL,52,119.7,1
PI_432212_LSP_AGL,48.3,122.3,1
PI_432236_LSP_AGL,49.3,122,1
PI_432245_LSP_AGL,44.7,116,0
PI_432271_LSP_AGL,55.3,122.7,1
PI_432286_LSP_AGL,52.7,135,1
PI_451763_LSP_AGL,46,119.7,0
PI_458503_LSP_AGL,49,120.7,0
PI_468900_LSP_AGL,51.7,122.7,0
PI_468901_AGL,60.3,128.3,1
PI_468902_LSP_AGL,47.7,118.3,NA
PI_472136_LSP_AGL,43.3,98.7,1
PI_472205_LSP_AGL,44.3,90,1
PI_472213_LSP_AGL,47.3,123,1
PI_472327_LSP_AGL,44,100,1
PI_472380_LSP_AGL,44,98.3,1
PI_472416_LSP_AGL,46,108.3,1
PI_472488_LSP_AGL,44.3,104.3,1
PI_472559_LSP_AGL,43.3,102.7,1
PI_472561_LSP_AGL,45.7,102.7,1
PI_472569_LSP_AGL,43.5,105,1
PI_472588_LSP_AGL,49.7,124,0
PI_472590_LSP_AGL,48,123,0
PI_472615_LSP_AGL,45.7,119,0
PI_472629_LSP_AGL,46.3,118,0
PI_477921_LSP_AGL,47.3,121,NA
PI_490288_LSP_AGL,54.7,123.3,0
PI_490289_LSP_AGL,48.3,121.3,0
PI_508090_AGL,46.3,120.7,0
PI_518733_LSP_AGL,59.3,121.7,1
PI_518734_LSP_AGL,60.3,123,1
PI_533688_LSP_AGL,53.3,139,0
PI_533693_LSP_AGL,54.7,123.3,0
PI_612875_AGL,45,116.7,1
PI_643451_AGL,46,108.3,1
PI_643452_AGL,44,108.7,1
Shasta_AGL,50,119.5,0
W6_27754_LSP_AGL,58,126.7,0
W6_27760_LSP_AGL,53.3,113.7,1
W6_27763_LSP_AGL,46.3,125.3,1
W6_27766_LSP_AGL,47,106.3,1
W6_27767_LSP_AGL,49.3,129.3,1
