"Name","b"
"PI_298923_LSP_AGL",0.000564
"PI_299116_LSP_AGL",0.000504
"PI_299120_LSP_AGL",0.000618
"PI_299121_LSP_AGL",0.000445
"PI_299126_LSP_AGL",0.000214
"PI_299163_LSP_AGL",0.000382
"PI_299164_LSP_AGL",0.000367
"PI_299165_AGL",8.2e-05
"PI_299177_LSP_AGL",0.000243
"PI_299237_LSP_AGL",0.000525
"PI_299289_AGL",0.000399
"PI_299312_AGL",0.000395
"PI_299345_AGL",0.000168
"PI_299351_LSP_AGL",0.000527
"PI_299366_LSP_AGL",0.000343
"PI_299375_LSP_AGL",0.00036
"PI_300250_LSP_AGL",0.000376
"PI_302398_LSP_AGL",0.000385
"PI_308614_LSP_AGL",1e-05
"PI_311107_LSP_AGL",-7e-06
"PI_312175_LSP_AGL",0.000161
"PI_320935_LSP_AGL",0.000408
"PI_320936_LSP_AGL",0.000417
"PI_320937_LSP_AGL",0.000588
"CN_105866_AGL",0.000185
"PI_320941_LSP_AGL",0.000301
"PI_320945_LSP_AGL",0.000364
"PI_320946_LSP_AGL",0.000361
"PI_320952_LSP_AGL",0.000347
"PI_320953_LSP_AGL",0.000252
"PI_320954_LSP_AGL",0.000314
"PI_329157_LSP_AGL",0.000559
"PI_329167_LSP_AGL",0.000503
"PI_339266_LSP_AGL",0.000565
"PI_339283_LSP_AGL",0.000269
"PI_339285_AGL",0.000168
"PI_339289_LSP_AGL",0.000641
"PI_339292_LSP_AGL",0.000611
"PI_339296_AGL",0.000717
"ILL_618_AGL",0.000554
"PI_345627_LSP_AGL",0.000406
"PI_358602_LSP_AGL",0.000513
"PI_368647_LSP_AGL",0.00045
"PI_368651_LSP_AGL",0.000403
"PI_370481_LSP_AGL",0.000292
"PI_374116_LSP_AGL",0.000377
"PI_374117_LSP_AGL",0.000372
"PI_374118_AGL",0.000106
"PI_374120_LSP_AGL",0.000481
"PI_374121_AGL",0.000595
"PI_379368_LSP_AGL",0.000485
"PI_383682_LSP_AGL",0.000481
"PI_420818_AGL",-3.1e-05
"PI_420924_LSP_AGL",0.000239
"PI_420925_LSP_AGL",-8e-05
"PI_420929_LSP_AGL",-4.3e-05
"PI_426202_LSP_AGL",0.000341
"PI_426778_LSP_AGL",0.000457
"PI_426784_LSP_AGL",0.00031
"PI_426797_LSP_AGL",0.000246
"PI_426807_LSP_AGL",9.4e-05
"PI_431618_LSP_AGL",0.00056
"PI_431622_LSP_AGL",0.000393
"PI_431630_LSP_AGL",0.00037
"PI_431633_LSP_AGL",0.000472
"PI_431636_LSP_AGL",0.000421
"PI_431643_LSP_AGL",0.000447
"PI_431662_LSP_AGL",0.000409
"PI_431663_LSP_AGL",0.000472
"IG_1046_AGL",0.000614
"PI_431684_LSP_AGL",0.000265
"PI_431705_LSP_AGL",0.00047
"PI_431710_LSP_AGL",0.000485
"PI_431714_LSP_AGL",0.000439
"PI_431717_LSP_AGL",0.000352
"PI_431728_LSP_AGL",0.000517
"PI_431731_LSP_AGL",0.000375
"PI_431739_LSP_AGL",0.00047
"PI_431753_LSP_AGL",0.00053
"PI_431756_LSP_AGL",0.000384
"PI_431809_LSP_AGL",0.000408
"PI_431824_LSP_AGL",4e-04
"PI_431863_LSP_AGL",0.000394
"PI_431873_LSP_AGL",0.000292
"PI_431884_LSP_AGL",0.000456
"PI_431888_LSP_AGL",0.000152
"PI_431923_LSP_AGL",0.000328
"PI_431980_LSP_AGL",0.00049
"PI_432000_LSP_AGL",0.000258
"PI_432001_LSP_AGL",0.000307
"PI_432002_LSP_AGL",0.000202
"PI_432005_LSP_AGL",0.000229
"PI_432028_LSP_AGL",0.00034
"PI_432033_LSP_AGL",0.000481
"PI_432085_LSP_AGL",0.000226
"PI_432106_LSP_AGL",0.000488
"PI_432124_LSP_AGL",0.000455
"PI_432145_LSP_AGL",0.000368
"PI_432147_LSP_AGL",0.000549
"PI_432184_LSP_AGL",0.000468
"PI_432188_LSP_AGL",0.000506
"PI_432190_LSP_AGL",0.000474
"PI_432201_LSP_AGL",0.000543
"PI_432212_LSP_AGL",0.000502
"PI_432236_LSP_AGL",0.000423
"PI_432245_LSP_AGL",0.000399
"PI_432271_LSP_AGL",0.000595
"PI_432286_LSP_AGL",0.000182
"PI_451763_LSP_AGL",0.00078
"PI_458503_LSP_AGL",0.000385
"PI_468900_LSP_AGL",0.000326
"PI_468901_AGL",0.000325
"PI_468902_LSP_AGL",0.000389
"PI_472136_LSP_AGL",0.000437
"PI_472205_LSP_AGL",0.00057
"PI_472213_LSP_AGL",0.00054
"PI_472327_LSP_AGL",0.000328
